institucion,instrumento,Cusip,ISIN_Serie,Sec_Id, Titulos ,Unit_Cost, Valor_a_costo ,Market_Price, Valor_de_mercado , Plusv_minusv_acumulado , Int_Devengado , T_C , mxn_dls ,Registro_Contable,Valor,Moneda_Original,Fecha_Inicio,Fecha_Final,Saldo_Inicial,Depositos,Dividendos,Intereses_Devengado,Intereses_Cobrado,Cambio_Mxn_Vs_Dis,Valuacion_Al_Cierre,Cancelacion_De_Valuacion_X_Vta,Cancelacion_De_Interes_Devengado,Compras,Ventas,Utilidad_Perdida,Retiros,Gastos,Impuestos,Neto_Mov,Saldo_Final, Dls_Al_Inicio ,TC_ Inicial,TC_Final,Valuacion_Dls_Al_Inicio,Valuacion_Dls_Al_Final,Utilidad_Perdida_Por_Valuacion,Utilidad_Perdida_Por_Valuacion_Miles
Actinver Securities Inc.,Freeport-Mcmoran Inc CL B,35671D857,35671D857,FCX,2000000,8.2011169,16402233.87,19.5,39000000.00,22597766.13,,,,Capital,Acciones,USD,2018/01/01,2018/01/31,37920000.00,,,,,,1080000.00,,,,,,,,,1080000.00,39000000.00,37920000.00,19.475,18.6982,738492000,709035744,-29456256,-29456
Actinver Securities Inc.,Southern Copper Corp Del Com,84265V105,84265V105,SCCO,1300000,26.2858659,34171625.72,48.55,63115000.00,28943374.28,,,,Capital,Acciones,USD,2018/01/01,2018/01/31,61685000.00,,,,,,1430000.00,,,,,,,,,1430000.00,63115000.00,61685000.00,19.475,18.6982,1201315375,1153398467,-47916908,-47917
